"benchmark","rows","units","periods","models","terms_per_model","horizons","controls","treated_units","treated_unit_share","saveweights","didbjs_median_seconds","didbjs_p90_seconds","didbjs_peak_rss_mb","kyle_median_seconds","kyle_p90_seconds","kyle_peak_rss_mb","runtime_ratio_vs_kyle","peak_rss_ratio_vs_kyle","parity_status","baseline_status","budget_status"
"saveweights_pathology",100000,5000,20,NA,NA,6,5,2500,0.5,TRUE,1.97029690211639,2.07751073760446,885.78125,1.97783520293888,1.99352180301212,509.890625,0.996188610248575,1.73719854135384,"passed_before_benchmark","kyle_controls_fe_measured_with_equivalent_rss_artifact","pass"
"plotting_overlay",NA,NA,NA,8,21,NA,NA,NA,NA,FALSE,0.0188678720151074,0.0225152893923223,123.28125,NA,NA,NA,NA,NA,"passed_before_benchmark","not_applicable_plotting_budget_has_no_kyle_ratio","pass"
