"benchmark","rows","units","periods","horizons","didbjs_median_seconds","didbjs_p90_seconds","didbjs_peak_rss_mb","kyle_median_seconds","kyle_p90_seconds","kyle_peak_rss_mb","runtime_ratio_vs_kyle","peak_rss_ratio_vs_kyle","python_status","parity_status","budget_status"
"small_static_overlap",1000,100,10,0,0.0171360729727894,0.026353914453648,249.390625,0.014764346065931,0.0265730184270069,246.4375,1.16063880487949,1.01198326147603,"measured_separately_python_median_0.310913_seconds","passed_before_benchmark","pass"
"medium_dynamic_overlap",20000,1000,20,6,0.132263540057465,0.166457736794837,313.28125,0.196109519107267,0.232758344849572,302.203125,0.674437124008858,1.03665787704876,"reported_timeout_in_exploratory_probe","passed_before_benchmark","pass"
"large_many_fe",250000,10000,25,0,3.03079248813447,3.06857438981533,598.296875,3.21594586409628,3.24258862342685,525.03125,0.942426463694889,1.13954526516279,"reported_timeout_in_exploratory_probe","passed_before_benchmark","pass"
